#{"t_start": 1708878562.1385813, "env_id": "None"}
r,l,t
-461.13538,237,11122.263279
-476.63525,253,11152.736328
79.35854,268,11248.626313
29.610146,277,11309.849693
-37.46592,288,11374.358974
-399.91385,198,11411.132688
-667.1635,355,11453.833631
-731.11505,381,11488.556365
1616.1359,164,11571.517782
2296.8577,144,11653.681968
-416.77493,217,11720.050205
-699.7495,365,11963.063275
-678.74896,368,11985.153475
-678.74896,368,11985.153475
-678.74896,368,11985.153475
-678.74896,368,11985.153475
-678.74896,368,11985.153475
-678.74896,368,11985.153475
-678.74896,368,11985.153475
-322.34735,148,12177.124283
2680.0146,201,12285.832959
2512.7944,213,12365.12508
3068.193,220,12441.537187
-421.89764,223,12533.815833
-80.699005,245,12630.657424
308.39047,288,12739.614731
1945.7273,290,12807.321173
1638.4502,224,12931.529147
3373.0762,170,13032.302722
2646.8455,219,13106.166369
3766.4497,222,13192.436722
4257.5796,238,13274.641389
7160.3984,203,13370.75353
367.35236,280,13429.285859
2724.657,207,13500.894826
-405.50116,194,13662.151047
-405.50116,194,13662.151047
-405.50116,194,13662.151047
-405.50116,194,13662.151047
-405.50116,194,13662.151047
-405.50116,194,13662.151047
-405.50116,194,13662.151047
-403.07443,196,13686.772057
1136.935,174,13886.448008
-430.21432,222,13942.809955
-451.23413,235,13979.123762
-459.03207,236,14004.09788
-458.90985,239,14022.797923
-124.61285,307,14126.725221
-677.0674,359,14190.929254
-337.75513,361,14236.560473
4698.955,245,14369.208463
79.48024,232,14481.060911
-430.92657,223,14573.657847
-145.33192,233,14676.597322
803.6204,242,14757.367421
885.39014,245,15052.754043
885.39014,245,15052.754043
885.39014,245,15052.754043
885.39014,245,15052.754043
885.39014,245,15052.754043
885.39014,245,15052.754043
885.39014,245,15052.754043
925.29443,248,15138.974236
-474.98343,249,15372.507463
56.91778,263,15455.691445
138.35315,264,15523.139005
122.74703,272,15601.571882
89.85486,277,15673.973659
3470.0916,283,15756.183233
-9.070529,305,15841.976973
-588.39294,313,15872.390364
-421.48877,217,16268.675145
-421.48877,217,16268.675145
-421.48877,217,16268.675145
-421.48877,217,16268.675145
-421.48877,217,16268.675145
-421.48877,217,16268.675145
-421.48877,217,16268.675145
-426.55508,219,16293.704147
-383.3701,189,16499.135429
-400.4496,202,16599.281077
-452.22543,244,16659.706338
-91.460655,259,16744.176842
369.99655,262,16818.399735
-195.05562,319,16928.899604
-595.83875,320,16946.984998
-251.06856,134,17038.300336
-57.304432,338,17113.046463
-336.27948,179,17245.749455
-352.05695,170,17320.083518
-371.8798,189,17429.915293
-414.2064,208,17508.451424
-555.9653,298,17887.280512
-555.9653,298,17887.280512
-555.9653,298,17887.280512
-555.9653,298,17887.280512
-555.9653,298,17887.280512
-555.9653,298,17887.280512
-555.9653,298,17887.280512
-579.10425,299,17905.334515
-391.7105,206,18222.746071
-382.71988,209,18314.519686
406.3969,235,18423.954834
-466.72647,248,18459.86994
256.54465,249,18533.490818
-157.4132,252,18616.040914
-463.21802,259,18646.701637
-49.19137,281,18742.842769
-480.2961,243,18958.342703
201.63762,278,19074.47015
670.4404,282,19489.128973
775.9231,286,19562.030057
775.9231,286,19562.030057
775.9231,286,19562.030057
775.9231,286,19562.030057
775.9231,286,19562.030057
775.9231,286,19562.030057
775.9231,286,19562.030057
-470.38974,245,19892.916361
236.02551,276,20021.385237
-512.2734,276,20021.385237
3958.7075,278,20100.38395
345.0665,289,20170.539951
23.062172,288,20238.481817
-727.30994,383,20381.311539
-756.1864,385,20403.84045
-52.722923,249,20942.684816
-33.531082,279,21045.63104
